date_created,time_created,keyword,count
Nov 17 2018,04:00:00-04:59:59,end,5
Nov 17 2018,04:00:00-04:59:59,bailed,5
Nov 17 2018,04:00:00-04:59:59,since,5
Nov 17 2018,04:00:00-04:59:59,lean,5
Nov 17 2018,05:00:00-05:59:59,'trump',3
Nov 17 2018,05:00:00-05:59:59,@gc_kiwi,2
Nov 17 2018,05:00:00-05:59:59,all,2
Nov 17 2018,05:00:00-05:59:59,played,2
Nov 17 2018,05:00:00-05:59:59,both,2
Nov 17 2018,05:00:00-05:59:59,ffs,2
Nov 17 2018,05:00:00-05:59:59,trio,2
Nov 17 2018,05:00:00-05:59:59,full,2
Nov 17 2018,05:00:00-05:59:59,traitor,2
Nov 17 2018,05:00:00-05:59:59,'race,2
Nov 17 2018,06:00:00-06:59:59,all,2
Nov 17 2018,06:00:00-06:59:59,played,2
Nov 17 2018,06:00:00-06:59:59,ffs,2
Nov 17 2018,06:00:00-06:59:59,traitor,2
Nov 17 2018,06:00:00-06:59:59,decade,2
Nov 17 2018,06:00:00-06:59:59,malware,2
Nov 17 2018,06:00:00-06:59:59,end,2
Nov 17 2018,06:00:00-06:59:59,bailed,2
Nov 17 2018,06:00:00-06:59:59,since,2
Nov 17 2018,06:00:00-06:59:59,lean,2
Nov 17 2018,07:00:00-07:59:59,a,1
Nov 17 2018,07:00:00-07:59:59,'lemon',1
Nov 17 2018,07:00:00-07:59:59,and,1
Nov 17 2018,07:00:00-07:59:59,on,1
Nov 17 2018,07:00:00-07:59:59,don,1
Nov 17 2018,07:00:00-07:59:59,'trump',1
Sat Nov 17 2018 07:00:00-07:59:59,emoji[:)],1
Nov 17 2018,07:00:00-07:59:59,of,1
Nov 17 2018,07:00:00-07:59:59,is,1
Nov 17 2018,07:00:00-07:59:59,'lunatic,1
Nov 17 2018,08:00:00-08:59:59,a,1
Nov 17 2018,08:00:00-08:59:59,and,1
Nov 17 2018,08:00:00-08:59:59,@proudresister,1
Nov 17 2018,08:00:00-08:59:59,words,1
Nov 17 2018,08:00:00-08:59:59,sentence,1
Nov 17 2018,08:00:00-08:59:59,@ah_science,1
Nov 17 2018,08:00:00-08:59:59,it,1
Nov 17 2018,08:00:00-08:59:59,writing,1
Nov 17 2018,08:00:00-08:59:59,@realdonaldtrump,1
Nov 17 2018,08:00:00-08:59:59,'intelligence',1
Nov 17 2018,09:00:00-09:59:59,all,5
Nov 17 2018,09:00:00-09:59:59,played,5
Nov 17 2018,09:00:00-09:59:59,ffs,5
Nov 17 2018,09:00:00-09:59:59,traitor,5
Nov 17 2018,09:00:00-09:59:59,decade,5
Nov 17 2018,09:00:00-09:59:59,malware,5
Nov 17 2018,09:00:00-09:59:59,end,5
Nov 17 2018,09:00:00-09:59:59,bailed,5
Nov 17 2018,09:00:00-09:59:59,since,5
Nov 17 2018,09:00:00-09:59:59,lean,5
Nov 17 2018,10:00:00-10:59:59,all,2
Nov 17 2018,10:00:00-10:59:59,least,2
Nov 17 2018,10:00:00-10:59:59,played,2
Nov 17 2018,10:00:00-10:59:59,ffs,2
Nov 17 2018,10:00:00-10:59:59,trump,2
Nov 17 2018,10:00:00-10:59:59,traitor,2
Nov 17 2018,10:00:00-10:59:59,decade,2
Nov 17 2018,10:00:00-10:59:59,malware,2
Nov 17 2018,10:00:00-10:59:59,end,2
Nov 17 2018,10:00:00-10:59:59,bailed,2
Nov 17 2018,11:00:00-11:59:59,there,2
Nov 17 2018,11:00:00-11:59:59,all,1
Nov 17 2018,11:00:00-11:59:59,google,1
Nov 17 2018,11:00:00-11:59:59,played,1
Nov 17 2018,11:00:00-11:59:59,is,1
Nov 17 2018,11:00:00-11:59:59,ffs,1
Nov 17 2018,11:00:00-11:59:59,results,1
Nov 17 2018,11:00:00-11:59:59,not,1
Nov 17 2018,11:00:00-11:59:59,right,1
Nov 17 2018,11:00:00-11:59:59,traitor,1
Nov 17 2018,12:00:00-12:59:59,all,6
Nov 17 2018,12:00:00-12:59:59,played,6
Nov 17 2018,12:00:00-12:59:59,ffs,6
Nov 17 2018,12:00:00-12:59:59,traitor,6
Nov 17 2018,12:00:00-12:59:59,decade,6
Nov 17 2018,12:00:00-12:59:59,malware,6
Nov 17 2018,12:00:00-12:59:59,end,6
Nov 17 2018,12:00:00-12:59:59,bailed,6
Nov 17 2018,12:00:00-12:59:59,since,6
Nov 17 2018,12:00:00-12:59:59,lean,6
Nov 17 2018,13:00:00-13:59:59,2017:,4
Nov 17 2018,13:00:00-13:59:59,trump,3
Nov 17 2018,13:00:00-13:59:59,june,3
Nov 17 2018,13:00:00-13:59:59,all,1
Nov 17 2018,13:00:00-13:59:59,since,1
Nov 17 2018,13:00:00-13:59:59,decapitates,1
Nov 17 2018,13:00:00-13:59:59,they,1
Nov 17 2018,13:00:00-13:59:59,violently,1
Nov 17 2018,13:00:00-13:59:59,is,1
Nov 17 2018,13:00:00-13:59:59,6,,1
Nov 17 2018,14:00:00-14:59:59,all,2
Nov 17 2018,14:00:00-14:59:59,played,2
Nov 17 2018,14:00:00-14:59:59,ffs,2
Nov 17 2018,14:00:00-14:59:59,traitor,2
Nov 17 2018,14:00:00-14:59:59,decade,2
Nov 17 2018,14:00:00-14:59:59,malware,2
Nov 17 2018,14:00:00-14:59:59,end,2
Nov 17 2018,14:00:00-14:59:59,bailed,2
Nov 17 2018,14:00:00-14:59:59,since,2
Nov 17 2018,14:00:00-14:59:59,lean,2
Nov 17 2018,15:00:00-15:59:59,all,3
Nov 17 2018,15:00:00-15:59:59,ffs,3
Nov 17 2018,15:00:00-15:59:59,traitor,3
Nov 17 2018,15:00:00-15:59:59,decade,3
Nov 17 2018,15:00:00-15:59:59,facebook,3
Nov 17 2018,15:00:00-15:59:59,since,3
Nov 17 2018,15:00:00-15:59:59,lean,3
Nov 17 2018,15:00:00-15:59:59,https://tco/elzrlpfrvp,3
Nov 17 2018,15:00:00-15:59:59,oh,3
Nov 17 2018,15:00:00-15:59:59,least,3
Nov 17 2018,16:00:00-16:59:59,hashtag,6
Nov 17 2018,16:00:00-16:59:59,de,3
Nov 17 2018,16:00:00-16:59:59,e,3
Nov 17 2018,16:00:00-16:59:59,media,2
Nov 17 2018,16:00:00-16:59:59,and,1
Nov 17 2018,16:00:00-16:59:59,pra,1
Nov 17 2018,16:00:00-16:59:59,tem,1
Nov 17 2018,16:00:00-16:59:59,don't,1
Nov 17 2018,16:00:00-16:59:59,guerra,1
Nov 17 2018,16:00:00-16:59:59,'entre,1
Nov 17 2018,17:00:00-17:59:59,all,2
Nov 17 2018,17:00:00-17:59:59,played,2
Nov 17 2018,17:00:00-17:59:59,ffs,2
Nov 17 2018,17:00:00-17:59:59,traitor,2
Nov 17 2018,17:00:00-17:59:59,decade,2
Nov 17 2018,17:00:00-17:59:59,malware,2
Nov 17 2018,17:00:00-17:59:59,end,2
Nov 17 2018,17:00:00-17:59:59,bailed,2
Nov 17 2018,17:00:00-17:59:59,since,2
Nov 17 2018,17:00:00-17:59:59,lean,2
Nov 17 2018,18:00:00-18:59:59,all,2
Nov 17 2018,18:00:00-18:59:59,ffs,2
Nov 17 2018,18:00:00-18:59:59,decade,2
Nov 17 2018,18:00:00-18:59:59,traitor,2
Nov 17 2018,18:00:00-18:59:59,since,2
Nov 17 2018,18:00:00-18:59:59,lean,2
Nov 17 2018,18:00:00-18:59:59,https://tco/elzrlpfrvp,2
Nov 17 2018,18:00:00-18:59:59,both,2
Nov 17 2018,18:00:00-18:59:59,oh,2
Nov 17 2018,18:00:00-18:59:59,least,2
Nov 17 2018,19:00:00-19:59:59,'trump',7
Nov 17 2018,19:00:00-19:59:59,might,5
Nov 17 2018,19:00:00-19:59:59,,4
